salesHistoryKey,neighborhood,street name,salesTypeDsc,sale amount,saleDate,Days between last sale,Previous saleDate,cumsum sale amount,margin sale amount,amount_pct_change
719766833,507060,1 N FENWICK ST,,2135000,2022-09-29 00:00:00+00:00,,,2135000.0,,
719486725,504043,1 N MADISON ST,W-Will / R.O.S/L O H,0,2021-01-21 00:00:00+00:00,,,0.0,,
719486729,504043,1 N MADISON ST,2-Sale or Gift to Relative,0,2023-10-06 00:00:00+00:00,988.0,2021-01-21 00:00:00+00:00,0.0,0.0,
719528261,504062,10 N GREENBRIER ST,5-Not Market Sale,0,2019-04-04 00:00:00+00:00,,,0.0,,
719528265,504062,10 N GREENBRIER ST,,1235000,2024-06-18 00:00:00+00:00,1902.0,2019-04-04 00:00:00+00:00,1235000.0,1235000.0,
719848741,508803,10 S ABINGDON ST,6-Quitclaim,0,2020-01-21 00:00:00+00:00,,,0.0,,
719848745,508803,10 S ABINGDON ST,,865000,2021-05-28 00:00:00+00:00,493.0,2020-01-21 00:00:00+00:00,865000.0,865000.0,
719845693,508803,10 S PERSHING DR,,835000,2021-08-30 00:00:00+00:00,,,835000.0,,
719760761,171100,100 B N BEDFORD ST B,5-Not Market Sale,0,2023-12-22 00:00:00+00:00,,,0.0,,
719800473,271097,100 N GEORGE MASON DR 100-1,,244000,2021-10-07 00:00:00+00:00,,,244000.0,,
719800497,271097,100 N GEORGE MASON DR 100-2,,282800,2020-11-19 00:00:00+00:00,,,282800.0,,
719800517,271097,100 N GEORGE MASON DR 100-3,N-DREA Not a market Sale,230000,2021-09-27 00:00:00+00:00,,,230000.0,,
719803057,271097,100 N TRENTON ST 100-4,,290000,2020-03-06 00:00:00+00:00,,,290000.0,,
719808989,508067,100 S ABERDEEN ST,,950000,2020-07-30 00:00:00+00:00,,,950000.0,,
719873605,509073,100 S BARTON ST,W-Will / R.O.S/L O H,0,2023-02-27 00:00:00+00:00,,,0.0,,
719873609,509073,100 S BARTON ST,E-Estate Sale,765000,2023-07-11 00:00:00+00:00,134.0,2023-02-27 00:00:00+00:00,765000.0,765000.0,
719843449,508069,100 S GLEBE RD,5-Not Market Sale,0,2023-10-17 00:00:00+00:00,,,0.0,,
719844877,508067,100 S PERSHING DR,,1050000,2019-03-13 00:00:00+00:00,,,1050000.0,,
719875813,509877,100 S WISE ST,,699500,2024-10-07 00:00:00+00:00,,,699500.0,,
720160033,511092,1000 26th ST S,,1170000,2021-12-28 00:00:00+00:00,,,1170000.0,,
719746429,506057,1000 N DANIEL ST,2-Sale or Gift to Relative,0,2023-04-06 00:00:00+00:00,,,0.0,,
719746433,506057,1000 N DANIEL ST,5-Not Market Sale,0,2023-04-06 00:00:00+00:00,0.0,2023-04-06 00:00:00+00:00,0.0,0.0,
719423905,505040,1000 N KENSINGTON ST,2-Sale or Gift to Relative,0,2020-12-17 00:00:00+00:00,,,0.0,,
719423909,505040,1000 N KENSINGTON ST,,830000,2021-11-26 00:00:00+00:00,344.0,2020-12-17 00:00:00+00:00,830000.0,830000.0,
719484657,504028,1000 N LARRIMORE ST,X- Transfer On Death Deed,0,2024-04-07 00:00:00+00:00,,,0.0,,
719476905,504028,1000 N MADISON ST,7-Partial Interest,0,2024-04-19 00:00:00+00:00,,,0.0,,
719476909,504028,1000 N MADISON ST,7-Partial Interest,0,2024-04-19 00:00:00+00:00,0.0,2024-04-19 00:00:00+00:00,0.0,0.0,
720214989,250015,1000 N RANDOLPH ST 105,,422000,2024-09-03 00:00:00+00:00,,,422000.0,,
720214461,250015,1000 N RANDOLPH ST 201,,710000,2023-01-26 00:00:00+00:00,,,710000.0,,
720213953,250015,1000 N RANDOLPH ST 204,,626000,2020-12-28 00:00:00+00:00,,,626000.0,,
720215349,250015,1000 N RANDOLPH ST 207,,555000,2021-11-23 00:00:00+00:00,,,555000.0,,
720215089,250015,1000 N RANDOLPH ST 208,,430000,2023-06-03 00:00:00+00:00,,,430000.0,,
720214221,250015,1000 N RANDOLPH ST 210,,810000,2023-06-28 00:00:00+00:00,,,810000.0,,
720214325,250015,1000 N RANDOLPH ST 303,,730000,2022-05-12 00:00:00+00:00,,,730000.0,,
720214329,250015,1000 N RANDOLPH ST 303,,720000,2024-03-13 00:00:00+00:00,671.0,2022-05-12 00:00:00+00:00,1450000.0,-10000.0,-1.37%
720214105,250015,1000 N RANDOLPH ST 305,,659000,2019-02-14 00:00:00+00:00,,,659000.0,,
720214233,250015,1000 N RANDOLPH ST 310,,718000,2020-11-06 00:00:00+00:00,,,718000.0,,
720213985,250015,1000 N RANDOLPH ST 404,,660000,2022-04-28 00:00:00+00:00,,,660000.0,,
720215025,250015,1000 N RANDOLPH ST 406,N-DREA Not a market Sale,423000,2022-04-15 00:00:00+00:00,,,423000.0,,
720214261,250015,1000 N RANDOLPH ST 410,2-Sale or Gift to Relative,0,2019-12-01 00:00:00+00:00,,,0.0,,
720215221,250015,1000 N RANDOLPH ST 502,,410000,2019-03-01 00:00:00+00:00,,,410000.0,,
720214361,250015,1000 N RANDOLPH ST 503,,715000,2022-02-09 00:00:00+00:00,,,715000.0,,
720215385,250015,1000 N RANDOLPH ST 507,6-Quitclaim,0,2022-04-15 00:00:00+00:00,,,0.0,,
720215389,250015,1000 N RANDOLPH ST 507,,595000,2024-10-21 00:00:00+00:00,920.0,2022-04-15 00:00:00+00:00,595000.0,595000.0,
720214753,250015,1000 N RANDOLPH ST 509,5-Not Market Sale,875000,2021-06-30 00:00:00+00:00,,,875000.0,,
720214281,250015,1000 N RANDOLPH ST 510,,740000,2021-07-20 00:00:00+00:00,,,740000.0,,
720214533,250015,1000 N RANDOLPH ST 601,N-DREA Not a market Sale,512399,2022-04-18 00:00:00+00:00,,,512399.0,,
720215241,250015,1000 N RANDOLPH ST 602,,430000,2023-11-20 00:00:00+00:00,,,430000.0,,
720214157,250015,1000 N RANDOLPH ST 605,,655000,2020-03-04 00:00:00+00:00,,,655000.0,,
720214161,250015,1000 N RANDOLPH ST 605,5-Not Market Sale,0,2023-01-28 00:00:00+00:00,1060.0,2020-03-04 00:00:00+00:00,655000.0,-655000.0,-100.00%
720215277,250015,1000 N RANDOLPH ST 702,,425000,2021-02-09 00:00:00+00:00,,,425000.0,,
720214393,250015,1000 N RANDOLPH ST 703,W-Will / R.O.S/L O H,0,2022-06-20 00:00:00+00:00,,,0.0,,
720214397,250015,1000 N RANDOLPH ST 703,,715000,2024-03-07 00:00:00+00:00,626.0,2022-06-20 00:00:00+00:00,715000.0,715000.0,
720214641,250015,1000 N RANDOLPH ST 708,5-Not Market Sale,0,2020-03-11 00:00:00+00:00,,,0.0,,
720214789,250015,1000 N RANDOLPH ST 709,,912500,2022-09-30 00:00:00+00:00,,,912500.0,,
720214593,250015,1000 N RANDOLPH ST 801,,830000,2022-10-07 00:00:00+00:00,,,830000.0,,
720215297,250015,1000 N RANDOLPH ST 802,,430000,2023-10-16 00:00:00+00:00,,,430000.0,,
720214425,250015,1000 N RANDOLPH ST 803,5-Not Market Sale,775000,2021-07-26 00:00:00+00:00,,,775000.0,,
720214913,250015,1000 N RANDOLPH ST 807,,419000,2021-03-18 00:00:00+00:00,,,419000.0,,
720214801,250015,1000 N RANDOLPH ST 809,,935000,2020-09-18 00:00:00+00:00,,,935000.0,,
