street name,max_sale_amount,avg_sale_amount,num_of_sales,total_sale_amount
1 N FENWICK ST,2135000,2135000.0,1,2135000
1 N MADISON ST,0,0.0,2,0
10 N GREENBRIER ST,1235000,617500.0,2,1235000
10 S ABINGDON ST,865000,432500.0,2,865000
10 S PERSHING DR,835000,835000.0,1,835000
100 B N BEDFORD ST B,0,0.0,1,0
100 N GEORGE MASON DR 100-1,244000,244000.0,1,244000
100 N GEORGE MASON DR 100-2,282800,282800.0,1,282800
100 N GEORGE MASON DR 100-3,230000,230000.0,1,230000
100 N TRENTON ST 100-4,290000,290000.0,1,290000
100 S ABERDEEN ST,950000,950000.0,1,950000
100 S BARTON ST,765000,382500.0,2,765000
100 S GLEBE RD,0,0.0,1,0
100 S PERSHING DR,1050000,1050000.0,1,1050000
100 S WISE ST,699500,699500.0,1,699500
1000 26th ST S,1170000,1170000.0,1,1170000
1000 N DANIEL ST,0,0.0,2,0
1000 N KENSINGTON ST,830000,415000.0,2,830000
1000 N LARRIMORE ST,0,0.0,1,0
1000 N MADISON ST,0,0.0,2,0
1000 N RANDOLPH ST 105,422000,422000.0,1,422000
1000 N RANDOLPH ST 201,710000,710000.0,1,710000
1000 N RANDOLPH ST 204,626000,626000.0,1,626000
1000 N RANDOLPH ST 207,555000,555000.0,1,555000
1000 N RANDOLPH ST 208,430000,430000.0,1,430000
1000 N RANDOLPH ST 210,810000,810000.0,1,810000
1000 N RANDOLPH ST 303,1450000,725000.0,2,1450000
1000 N RANDOLPH ST 305,659000,659000.0,1,659000
1000 N RANDOLPH ST 310,718000,718000.0,1,718000
1000 N RANDOLPH ST 404,660000,660000.0,1,660000
1000 N RANDOLPH ST 406,423000,423000.0,1,423000
1000 N RANDOLPH ST 410,0,0.0,1,0
1000 N RANDOLPH ST 502,410000,410000.0,1,410000
1000 N RANDOLPH ST 503,715000,715000.0,1,715000
1000 N RANDOLPH ST 507,595000,297500.0,2,595000
1000 N RANDOLPH ST 509,875000,875000.0,1,875000
1000 N RANDOLPH ST 510,740000,740000.0,1,740000
1000 N RANDOLPH ST 601,512399,512399.0,1,512399
1000 N RANDOLPH ST 602,430000,430000.0,1,430000
1000 N RANDOLPH ST 605,655000,327500.0,2,655000
1000 N RANDOLPH ST 702,425000,425000.0,1,425000
1000 N RANDOLPH ST 703,715000,357500.0,2,715000
1000 N RANDOLPH ST 708,0,0.0,1,0
1000 N RANDOLPH ST 709,912500,912500.0,1,912500
1000 N RANDOLPH ST 801,830000,830000.0,1,830000
1000 N RANDOLPH ST 802,430000,430000.0,1,430000
1000 N RANDOLPH ST 803,775000,775000.0,1,775000
1000 N RANDOLPH ST 807,419000,419000.0,1,419000
1000 N RANDOLPH ST 809,935000,935000.0,1,935000
1000 N RANDOLPH ST 902,437500,437500.0,1,437500
1000 N RANDOLPH ST 904,1265000,632500.0,2,1265000
1000 N RANDOLPH ST 906,440000,440000.0,1,440000
1000 N RANDOLPH ST 908,860000,860000.0,1,860000
1000 S EDISON ST,0,0.0,1,0
1001  N VERMONT ST 1001,0,0.0,1,0
1001  N VERMONT ST 1002,511100,511100.0,1,511100
1001  N VERMONT ST 1005,415000,138333.33333333334,3,415000
1001  N VERMONT ST 1006,1178000,589000.0,2,1178000
1001  N VERMONT ST 1008,729000,364500.0,2,729000
1001  N VERMONT ST 1009,395000,395000.0,1,395000
1001  N VERMONT ST 101,380000,190000.0,2,380000
1001  N VERMONT ST 103,935000,467500.0,2,935000
1001  N VERMONT ST 105,559000,559000.0,1,559000
1001  N VERMONT ST 106,405000,405000.0,1,405000
1001  N VERMONT ST 109,515000,257500.0,2,515000
1001  N VERMONT ST 112,475000,475000.0,1,475000
1001  N VERMONT ST 113,326000,326000.0,1,326000
1001  N VERMONT ST 204,0,0.0,1,0
1001  N VERMONT ST 205,370000,370000.0,1,370000
1001  N VERMONT ST 206,426000,426000.0,1,426000
1001  N VERMONT ST 211,500000,500000.0,1,500000
1001  N VERMONT ST 212,0,0.0,1,0
1001  N VERMONT ST 213,405000,405000.0,1,405000
1001  N VERMONT ST 214,445000,445000.0,1,445000
1001  N VERMONT ST 215,387200,387200.0,1,387200
1001  N VERMONT ST 301,610000,610000.0,1,610000
1001  N VERMONT ST 302,502000,502000.0,1,502000
1001  N VERMONT ST 304,385000,385000.0,1,385000
1001  N VERMONT ST 307,1024000,204800.0,5,1024000
1001  N VERMONT ST 309,0,0.0,1,0
1001  N VERMONT ST 310,570000,570000.0,1,570000
1001  N VERMONT ST 314,474900,474900.0,1,474900
1001  N VERMONT ST 405,0,0.0,1,0
1001  N VERMONT ST 406,357125,357125.0,1,357125
1001  N VERMONT ST 409,415000,415000.0,1,415000
1001  N VERMONT ST 410,580000,580000.0,1,580000
1001  N VERMONT ST 414,490000,245000.0,2,490000
1001  N VERMONT ST 415,398000,398000.0,1,398000
1001  N VERMONT ST 502,0,0.0,1,0
1001  N VERMONT ST 504,395000,395000.0,1,395000
1001  N VERMONT ST 505,790000,395000.0,2,790000
1001  N VERMONT ST 509,398000,398000.0,1,398000
1001  N VERMONT ST 512,399000,399000.0,1,399000
1001  N VERMONT ST 514,460000,460000.0,1,460000
1001  N VERMONT ST 603,975000,487500.0,2,975000
1001  N VERMONT ST 604,400000,400000.0,1,400000
1001  N VERMONT ST 606,400000,400000.0,1,400000
1001  N VERMONT ST 607,585000,585000.0,1,585000
1001  N VERMONT ST 608,374900,374900.0,1,374900
1001  N VERMONT ST 609,420000,420000.0,1,420000
1001  N VERMONT ST 613,389900,389900.0,1,389900
1001  N VERMONT ST 614,481000,481000.0,1,481000
1001  N VERMONT ST 701,400000,400000.0,1,400000
1001  N VERMONT ST 702,492000,492000.0,1,492000
1001  N VERMONT ST 703,400500,200250.0,2,400500
1001  N VERMONT ST 704,400000,400000.0,1,400000
1001  N VERMONT ST 705,431000,215500.0,2,431000
1001  N VERMONT ST 706,549900,549900.0,1,549900
1001  N VERMONT ST 707,400000,400000.0,1,400000
1001  N VERMONT ST 708,418000,418000.0,1,418000
1001  N VERMONT ST 709,520000,260000.0,2,520000
1001  N VERMONT ST 710,575000,575000.0,1,575000
1001  N VERMONT ST 713,500000,500000.0,1,500000
1001  N VERMONT ST 801,0,0.0,1,0
1001  N VERMONT ST 802,527500,527500.0,1,527500
1001  N VERMONT ST 803,0,0.0,2,0
1001  N VERMONT ST 804,376467,376467.0,1,376467
1001  N VERMONT ST 806,0,0.0,1,0
1001  N VERMONT ST 809,565000,282500.0,2,565000
1001  N VERMONT ST 810,559000,559000.0,1,559000
1001  N VERMONT ST 812,326000,326000.0,1,326000
1001  N VERMONT ST 813,510000,510000.0,1,510000
1001  N VERMONT ST 902,475000,475000.0,1,475000
1001  N VERMONT ST 903,412500,412500.0,1,412500
1001  N VERMONT ST 907,402000,402000.0,1,402000
1001  N VERMONT ST 908,557650,557650.0,1,557650
1001  N VERMONT ST 910,400000,400000.0,1,400000
1001  N VERMONT ST 911,507500,507500.0,1,507500
1001 16th ST S,765000,765000.0,1,765000
1001 19th ST N,266993196,88997732.0,3,266993196
1001 23rd ST S,950000,475000.0,2,950000
1001 26th ST S,875000,875000.0,1,875000
1001 27th ST S,0,0.0,1,0
1001 N DANIEL ST,856000,856000.0,1,856000
1001 N LEBANON ST,799000,799000.0,1,799000
1001 N LIBERTY ST,0,0.0,1,0
1001 N QUINTANA ST,0,0.0,2,0
1001 N RANDOLPH ST,0,0.0,1,0
1001 N RANDOLPH ST 1003,788000,394000.0,2,788000
1001 N RANDOLPH ST 1004,389000,389000.0,1,389000
1001 N RANDOLPH ST 1005,465023,465023.0,1,465023
1001 N RANDOLPH ST 1007,0,0.0,1,0
1001 N RANDOLPH ST 1008,395000,395000.0,1,395000
1001 N RANDOLPH ST 101,520000,260000.0,2,520000
1001 N RANDOLPH ST 1013,395000,395000.0,1,395000
1001 N RANDOLPH ST 1014,410000,410000.0,1,410000
1001 N RANDOLPH ST 1016,396000,396000.0,1,396000
1001 N RANDOLPH ST 1017,410000,410000.0,1,410000
1001 N RANDOLPH ST 1018,400000,400000.0,1,400000
1001 N RANDOLPH ST 1022,450000,450000.0,1,450000
1001 N RANDOLPH ST 103,403000,403000.0,1,403000
1001 N RANDOLPH ST 104,395000,395000.0,1,395000
1001 N RANDOLPH ST 106,360000,180000.0,2,360000
1001 N RANDOLPH ST 107,371500,371500.0,1,371500
1001 N RANDOLPH ST 108,760000,380000.0,2,760000
1001 N RANDOLPH ST 109,350000,175000.0,2,350000
1001 N RANDOLPH ST 111,405000,405000.0,1,405000
1001 N RANDOLPH ST 113,380000,380000.0,1,380000
1001 N RANDOLPH ST 114,395000,395000.0,1,395000
1001 N RANDOLPH ST 115,0,0.0,1,0
1001 N RANDOLPH ST 204,420000,420000.0,1,420000
1001 N RANDOLPH ST 205,400000,400000.0,1,400000
1001 N RANDOLPH ST 209,385000,385000.0,1,385000
1001 N RANDOLPH ST 212,390000,390000.0,1,390000
1001 N RANDOLPH ST 213,378000,378000.0,1,378000
1001 N RANDOLPH ST 214,394000,394000.0,1,394000
1001 N RANDOLPH ST 216,370000,370000.0,1,370000
1001 N RANDOLPH ST 219,545000,272500.0,2,545000
1001 N RANDOLPH ST 221,375000,375000.0,1,375000
1001 N RANDOLPH ST 222,367500,367500.0,1,367500
1001 N RANDOLPH ST 223,741000,370500.0,2,741000
1001 N RANDOLPH ST 301,570000,570000.0,1,570000
1001 N RANDOLPH ST 302,545000,545000.0,1,545000
1001 N RANDOLPH ST 305,0,0.0,1,0
1001 N RANDOLPH ST 306,445000,222500.0,2,445000
1001 N RANDOLPH ST 309,380000,380000.0,1,380000
1001 N RANDOLPH ST 311,540000,540000.0,1,540000
1001 N RANDOLPH ST 313,415000,415000.0,1,415000
1001 N RANDOLPH ST 314,350000,350000.0,1,350000
1001 N RANDOLPH ST 315,0,0.0,1,0
1001 N RANDOLPH ST 318,395000,197500.0,2,395000
1001 N RANDOLPH ST 321,0,0.0,1,0
